source_ingredients,approval_date,source_ingredients_curie,source_ingredients_curie_label,llm_qc_comparison_col,id_correct,corrected_curie,approved_russia,corrected_curie_norm,corrected_curie_norm_label,alternate_ids
Deanol,,CHEBI:271436,Deanol,Drug 1: Deanol; Drug 2: Deanol,True,CHEBI:271436,True,CHEBI:271436,Deanol,"['CHEBI:271436', 'UNII:2N6K9DRA24', 'PUBCHEM.COMPOUND:7902', 'CHEMBL.COMPOUND:CHEMBL1135', 'DRUGBANK:DB13352', 'MESH:D003642', 'CAS:108-01-0', 'CAS:203-542-8', 'DrugCentral:787', 'HMDB:HMDB0032231', 'INCHIKEY:UEEJHVSXFDXPFK-UHFFFAOYSA-N', 'UMLS:C0011064', 'RXCUI:3116', 'UNII:JSQ17GL1CN', 'PUBCHEM.COMPOUND:19265', 'MESH:C004777', 'CAS:222-858-7', 'CAS:3635-74-3', 'INCHIKEY:XTWZHJXJIIUEJP-UHFFFAOYSA-N', 'UMLS:C0057219', 'RXCUI:22361', 'UNII:2PP737Z523', 'PUBCHEM.COMPOUND:71125', 'MESH:C043253', 'CAS:3342-61-8', 'INCHIKEY:WKAVKKUXZAWHDM-JEDNCBNOSA-N', 'UMLS:C0112675', 'RXCUI:48780', 'RXCUI:238107', 'UMLS:C0774235', 'RXCUI:334298', 'UMLS:C1130966', 'RXCUI:376373', 'UMLS:C1250551', 'RXCUI:1152149', 'UMLS:C3206655', 'RXCUI:1152150', 'UMLS:C3206656', 'UMLS:C0771446', 'RXCUI:236195', 'UMLS:C0771445', 'RXCUI:236194', 'UMLS:C0771368', 'RXCUI:236124']"
Deanol Acogluomat,,CHEBI:271436,Deanol,Drug 1: Deanol Acogluomat; Drug 2: Deanol,True,CHEBI:271436,True,CHEBI:271436,Deanol,"['CHEBI:271436', 'UNII:2N6K9DRA24', 'PUBCHEM.COMPOUND:7902', 'CHEMBL.COMPOUND:CHEMBL1135', 'DRUGBANK:DB13352', 'MESH:D003642', 'CAS:108-01-0', 'CAS:203-542-8', 'DrugCentral:787', 'HMDB:HMDB0032231', 'INCHIKEY:UEEJHVSXFDXPFK-UHFFFAOYSA-N', 'UMLS:C0011064', 'RXCUI:3116', 'UNII:JSQ17GL1CN', 'PUBCHEM.COMPOUND:19265', 'MESH:C004777', 'CAS:222-858-7', 'CAS:3635-74-3', 'INCHIKEY:XTWZHJXJIIUEJP-UHFFFAOYSA-N', 'UMLS:C0057219', 'RXCUI:22361', 'UNII:2PP737Z523', 'PUBCHEM.COMPOUND:71125', 'MESH:C043253', 'CAS:3342-61-8', 'INCHIKEY:WKAVKKUXZAWHDM-JEDNCBNOSA-N', 'UMLS:C0112675', 'RXCUI:48780', 'RXCUI:238107', 'UMLS:C0774235', 'RXCUI:334298', 'UMLS:C1130966', 'RXCUI:376373', 'UMLS:C1250551', 'RXCUI:1152149', 'UMLS:C3206655', 'RXCUI:1152150', 'UMLS:C3206656', 'UMLS:C0771446', 'RXCUI:236195', 'UMLS:C0771445', 'RXCUI:236194', 'UMLS:C0771368', 'RXCUI:236124']"
Decametoxin,,CHEBI:134717,decamethoxine,Drug 1: Decametoxin; Drug 2: decamethoxine,True,CHEBI:134717,True,CHEBI:134717,decamethoxine,"['CHEBI:134717', 'PUBCHEM.COMPOUND:162291', 'CHEMBL.COMPOUND:CHEMBL3707369', 'DrugCentral:4919', 'INCHIKEY:ZADGGFKUEYIBJC-UHFFFAOYSA-N']"
Decitabin,2006-10-04,CHEBI:50131,Decitabine,Drug 1: Decitabin; Drug 2: Decitabine,True,CHEBI:50131,True,CHEBI:50131,Decitabine,"['CHEBI:50131', 'UNII:776B62CQ27', 'PUBCHEM.COMPOUND:451668', 'CHEMBL.COMPOUND:CHEMBL1201129', 'DRUGBANK:DB01262', 'MESH:D000077209', 'CAS:219-089-4', 'CAS:2353-33-5', 'DrugCentral:790', 'GTOPDB:6805', 'HMDB:HMDB0015391', 'INCHIKEY:XAUDJQYHKZQPEU-KVQBGUIXSA-N', 'UMLS:C0049065', 'RXCUI:15657', 'RXCUI:636242', 'UMLS:C1712036', 'RXCUI:636631', 'UMLS:C1711869', 'RXCUI:644989', 'UMLS:C1713928', 'RXCUI:1157195', 'UMLS:C3211618', 'RXCUI:1166941', 'UMLS:C3221139', 'RXCUI:1806906', 'UMLS:C4282575', 'RXCUI:1806907', 'UMLS:C4282207', 'RXCUI:1806909', 'UMLS:C4282576', 'RXCUI:1806910', 'UMLS:C4282577', 'RXCUI:2384452', 'UMLS:C5391154']"
Deferasirox,20051030,CHEBI:49005,Deferasirox,Drug 1: Deferasirox; Drug 2: Deferasirox,True,CHEBI:49005,True,CHEBI:49005,Deferasirox,"['CHEBI:49005', 'UNII:V8G4MOF2V9', 'PUBCHEM.COMPOUND:214348', 'CHEMBL.COMPOUND:CHEMBL550348', 'DRUGBANK:DB01609', 'MESH:D000077588', 'CAS:1044764-54-6', 'CAS:201530-41-8', 'DrugCentral:3128', 'HMDB:HMDB0015547', 'INCHIKEY:BOFQWVMAQOTZIW-UHFFFAOYSA-N', 'UMLS:C1619629', 'RXCUI:614373', 'RXCUI:597768', 'UMLS:C1642828', 'RXCUI:597770', 'UMLS:C1628494', 'RXCUI:597772', 'UMLS:C1635160', 'RXCUI:614084', 'UMLS:C1609706', 'RXCUI:616159', 'UMLS:C1693554', 'RXCUI:616161', 'UMLS:C1694695', 'RXCUI:616163', 'UMLS:C1695220', 'RXCUI:1157196', 'UMLS:C3211619', 'RXCUI:1157197', 'UMLS:C3211620', 'RXCUI:1173264', 'UMLS:C3227305', 'RXCUI:1173265', 'UMLS:C3227306', 'RXCUI:1607781', 'UMLS:C4018266', 'RXCUI:1607782', 'UMLS:C4018267', 'RXCUI:1607783', 'UMLS:C4018268', 'RXCUI:1607784', 'UMLS:C4018269', 'RXCUI:1607785', 'UMLS:C4018270', 'RXCUI:1607786', 'UMLS:C4018271', 'RXCUI:1607787', 'UMLS:C4018272', 'RXCUI:1607788', 'UMLS:C4018273', 'RXCUI:1607789', 'UMLS:C4018274', 'RXCUI:1607790', 'UMLS:C4018275', 'RXCUI:1607791', 'UMLS:C4018276', 'RXCUI:1607792', 'UMLS:C4018277', 'RXCUI:1607793', 'UMLS:C4018278', 'RXCUI:1607794', 'UMLS:C4018279', 'RXCUI:1607795', 'UMLS:C4018280', 'RXCUI:1607796', 'UMLS:C4018281', 'RXCUI:1607797', 'UMLS:C4018282', 'RXCUI:1607798', 'UMLS:C4018283', 'RXCUI:1869533', 'UMLS:C4307194', 'RXCUI:1869534', 'UMLS:C4307240', 'RXCUI:1869536', 'UMLS:C4306934', 'RXCUI:1869537', 'UMLS:C4307022', 'RXCUI:1869540', 'UMLS:C4307193', 'RXCUI:1869542', 'UMLS:C4306933', 'RXCUI:1869544', 'UMLS:C4307192', 'RXCUI:1869546', 'UMLS:C4306932', 'RXCUI:1923820', 'UMLS:C4477255', 'RXCUI:1923821', 'UMLS:C4477256', 'RXCUI:1923822', 'UMLS:C4477257', 'RXCUI:1923823', 'UMLS:C4477258', 'RXCUI:1923824', 'UMLS:C4477259', 'RXCUI:1923825', 'UMLS:C4477260', 'RXCUI:1923826', 'UMLS:C4319950', 'RXCUI:1923827', 'UMLS:C4477261', 'RXCUI:1923828', 'UMLS:C4319949', 'RXCUI:1923829', 'UMLS:C4477262']"
Deferoxamine,,CHEBI:4356,Deferoxamine,Drug 1: Deferoxamine; Drug 2: Deferoxamine,True,CHEBI:4356,True,CHEBI:4356,Deferoxamine,"['CHEBI:4356', 'UNII:J06Y7MXW4D', 'PUBCHEM.COMPOUND:2973', 'CHEMBL.COMPOUND:CHEMBL556', 'DRUGBANK:DB00746', 'MESH:D003676', 'CAS:200-738-5', 'CAS:70-51-9', 'DrugCentral:792', 'HMDB:HMDB0014884', 'KEGG.COMPOUND:C06940', 'INCHIKEY:UBQYURCVBFRUQT-UHFFFAOYSA-N', 'UMLS:C0011145', 'RXCUI:3131', 'PUBCHEM.COMPOUND:62881', 'CAS:138-14-7', 'CAS:205-314-3', 'RXCUI:151607', 'UMLS:C0591350', 'RXCUI:1152154', 'UMLS:C3206660', 'RXCUI:1174510', 'UMLS:C3228527', 'RXCUI:1731343', 'UMLS:C4074634', 'RXCUI:1731344', 'UMLS:C4074688', 'RXCUI:1731345', 'UMLS:C0773656', 'RXCUI:1731347', 'UMLS:C4074519', 'RXCUI:1731349', 'UMLS:C4074633', 'RXCUI:1731350', 'UMLS:C4048943', 'RXCUI:1731351', 'UMLS:C4074459', 'RXCUI:1731352', 'UMLS:C0938996', 'RXCUI:2646026', 'UMLS:C2092235', 'RXCUI:2655250', 'UMLS:C5839115', 'RXCUI:2659820', 'UMLS:C5843629', 'UMLS:C0011148', 'RXCUI:3132']"
Degarelix,2008-06-27,CHEBI:135961,Degarelix,Drug 1: Degarelix; Drug 2: Degarelix,True,CHEBI:135961,True,CHEBI:135961,Degarelix,"['CHEBI:135961', 'UNII:SX0XJI3A11', 'PUBCHEM.COMPOUND:16136245', 'CHEMBL.COMPOUND:CHEMBL415606', 'DRUGBANK:DB06699', 'CAS:214766-78-6', 'DrugCentral:4379', 'GTOPDB:5585', 'INCHIKEY:MEUCPCLKGZSHTA-XYAYPHGZSA-N', 'UMLS:C1455035', 'RXCUI:475230', 'RXCUI:828749', 'UMLS:C2370761', 'RXCUI:828751', 'UMLS:C2370763', 'RXCUI:835863', 'RXCUI:858122', 'UMLS:C2718527', 'RXCUI:858125', 'UMLS:C2718530', 'RXCUI:858127', 'UMLS:C2718532', 'RXCUI:1157202', 'UMLS:C3211625', 'RXCUI:1169000', 'UMLS:C3223157', 'RXCUI:1812344', 'UMLS:C4291563', 'RXCUI:1812345', 'UMLS:C4283902', 'RXCUI:1812347', 'UMLS:C4291455', 'RXCUI:1812348', 'UMLS:C4291485', 'RXCUI:1812350', 'UMLS:C4291562', 'RXCUI:1812352', 'UMLS:C4291454']"
Delamanid,20140130,CHEBI:134742,Delamanid,Drug 1: Delamanid; Drug 2: Delamanid,True,CHEBI:134742,True,CHEBI:134742,Delamanid,"['CHEBI:134742', 'UNII:8OOT6M1PC7', 'PUBCHEM.COMPOUND:6480466', 'CHEMBL.COMPOUND:CHEMBL218650', 'DRUGBANK:DB11637', 'MESH:C516022', 'CAS:681492-22-8', 'DrugCentral:4819', 'GTOPDB:12876', 'INCHIKEY:XDAOLTSRNUSPPH-XMMPIXPASA-N', 'UMLS:C1873341', 'UMLS:C3489682']"
Denosumab,20101013,UNII:4EQZ6YO2HI,Denosumab,Drug 1: Denosumab; Drug 2: Denosumab,True,UNII:4EQZ6YO2HI,True,UNII:4EQZ6YO2HI,Denosumab,"['UNII:4EQZ6YO2HI', 'CHEMBL.COMPOUND:CHEMBL1237023', 'DRUGBANK:DB06643', 'MESH:C494392', 'MESH:D000069448', 'DrugCentral:4965', 'GTOPDB:6886', 'UMLS:C1690432', 'RXCUI:993449', 'RXCUI:993450', 'UMLS:C2917751', 'RXCUI:993451', 'UMLS:C2917752', 'RXCUI:993452', 'UMLS:C2917753', 'RXCUI:993453', 'RXCUI:993454', 'UMLS:C2917755', 'RXCUI:993455', 'UMLS:C2917756', 'RXCUI:993456', 'UMLS:C2917757', 'RXCUI:993457', 'UMLS:C2917758', 'RXCUI:993458', 'UMLS:C2917759', 'RXCUI:1046397', 'UMLS:C2949323', 'RXCUI:1046398', 'UMLS:C2949324', 'RXCUI:1046399', 'RXCUI:1046400', 'UMLS:C2949326', 'RXCUI:1046402', 'UMLS:C2949328', 'RXCUI:1157742', 'UMLS:C3212160', 'RXCUI:1181276', 'UMLS:C3235115', 'RXCUI:1186420', 'UMLS:C3240172', 'RXCUI:1655915', 'UMLS:C4019263', 'RXCUI:1655917', 'UMLS:C4033889']"
Deoxyribonucleic acid plasmid [Super -scruffled double -folding ring],,UniProtKB:Q13356-1,RING-type E3 ubiquitin-protein ligase PPIL2 isoform h1 (human),Drug 1: Deoxyribonucleic acid plasmid [Super -scruffled double -folding ring]; Drug 2: RING-type E3 ubiquitin-protein ligase PPIL2 isoform h1 (human),False,CHEBI:16991,True,CHEBI:16991,DNA,"['CHEBI:16991', 'PUBCHEM.COMPOUND:44135672', 'MESH:D004247', 'CAS:9007-49-2', 'HMDB:HMDB0247632', 'KEGG.COMPOUND:C00039', 'INCHIKEY:AWBASQCACWFTGD-UHFFFAOYSA-N', 'UMLS:C0012854']"
Desfluran,19970701,CHEBI:4445,Desflurane,Drug 1: Desfluran; Drug 2: Desflurane,True,CHEBI:4445,True,CHEBI:4445,Desflurane,"['CHEBI:4445', 'UNII:CRS35BZ94Q', 'PUBCHEM.COMPOUND:42113', 'CHEMBL.COMPOUND:CHEMBL1200733', 'DRUGBANK:DB01189', 'MESH:D000077335', 'CAS:57041-67-5', 'DrugCentral:811', 'GTOPDB:7156', 'HMDB:HMDB0015320', 'KEGG.COMPOUND:C07519', 'INCHIKEY:DPYMFVXJLLWWEU-UHFFFAOYSA-N', 'UMLS:C0063252', 'RXCUI:27340', 'RXCUI:152394', 'UMLS:C0592148', 'RXCUI:208919', 'UMLS:C0710549', 'RXCUI:562366', 'UMLS:C0694202', 'RXCUI:1157752', 'UMLS:C3212170', 'RXCUI:1184866', 'UMLS:C3238656', 'RXCUI:2108329', 'UMLS:C4745763', 'RXCUI:2108330', 'UMLS:C2954718', 'RXCUI:2108332', 'UMLS:C4745764', 'RXCUI:2108333', 'UMLS:C4722393']"
Desloratadin,,CHEBI:291342,Desloratadine,Drug 1: Desloratadin; Drug 2: Desloratadine,True,CHEBI:291342,True,CHEBI:291342,Desloratadine,"['CHEBI:291342', 'UNII:FVF865388R', 'PUBCHEM.COMPOUND:124087', 'CHEMBL.COMPOUND:CHEMBL1172', 'DRUGBANK:DB00967', 'MESH:C121345', 'CAS:100643-71-8', 'DrugCentral:814', 'GTOPDB:7157', 'HMDB:HMDB0015102', 'INCHIKEY:JAUOIFJMECXRGI-UHFFFAOYSA-N', 'UMLS:C0908935', 'RXCUI:275635', 'RXCUI:323342', 'UMLS:C1101146', 'RXCUI:349420', 'UMLS:C1164997', 'RXCUI:350639', 'UMLS:C1166403', 'RXCUI:352086', 'UMLS:C1169700', 'RXCUI:369445', 'UMLS:C1243453', 'RXCUI:378295', 'UMLS:C1252556', 'RXCUI:402357', 'UMLS:C1321651', 'RXCUI:403841', 'UMLS:C1329046', 'RXCUI:405907', 'UMLS:C1331139', 'RXCUI:575830', 'UMLS:C1593537', 'RXCUI:577079', 'UMLS:C1616188', 'RXCUI:577080', 'UMLS:C1620306', 'RXCUI:607572', 'UMLS:C1640773', 'RXCUI:607573', 'UMLS:C1639495', 'RXCUI:1157756', 'UMLS:C3212174', 'RXCUI:1157757', 'UMLS:C3212175', 'RXCUI:1157758', 'UMLS:C3212176', 'RXCUI:1171559', 'UMLS:C3225631', 'RXCUI:1171560', 'UMLS:C3225632', 'RXCUI:1295463', 'UMLS:C3466126']"
Desmopressin,19870127,CHEBI:4450,Desmopressin,Drug 1: Desmopressin; Drug 2: Desmopressin,True,CHEBI:4450,True,CHEBI:4450,Desmopressin,"['CHEBI:4450', 'UNII:ENR1LLB0FP', 'PUBCHEM.COMPOUND:5311065', 'CHEMBL.COMPOUND:CHEMBL1429', 'DRUGBANK:DB00035', 'MESH:D003894', 'CAS:240-726-7', 'DrugCentral:817', 'GTOPDB:2182', 'INCHIKEY:NFLWUMRGJYTJIN-PNIOQBSNSA-N', 'UMLS:C0011701', 'RXCUI:3251', 'CHEBI:59728', 'UNII:XB13HYU18U', 'PUBCHEM.COMPOUND:46783812', 'INCHIKEY:YNKFCNRZZPFMEX-XHPDKPNGSA-N', 'UNII:1K12647SFC', 'PUBCHEM.COMPOUND:9833407', 'CHEMBL.COMPOUND:CHEMBL1200556', 'INCHIKEY:MLSVJHOYXJGGTR-IFHOVBQLSA-N', 'PUBCHEM.COMPOUND:27991', 'CHEMBL.COMPOUND:CHEMBL264448', 'CAS:6917-99-3', 'KEGG.COMPOUND:C06944', 'INCHIKEY:NFLWUMRGJYTJIN-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:64758', 'INCHIKEY:MLSVJHOYXJGGTR-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:16051933', 'CHEMBL.COMPOUND:CHEMBL376685', 'HMDB:HMDB0014260', 'INCHIKEY:NFLWUMRGJYTJIN-NXBWRCJVSA-N', 'PUBCHEM.COMPOUND:16051969', 'CHEMBL.COMPOUND:CHEMBL2358584', 'INCHIKEY:MLSVJHOYXJGGTR-MOMGZFCSSA-N', 'RXCUI:92301', 'UMLS:C1617574', 'RXCUI:203658', 'UMLS:C0701195', 'RXCUI:367719', 'UMLS:C1241694', 'RXCUI:371714', 'UMLS:C1245755', 'RXCUI:371715', 'UMLS:C1245756', 'RXCUI:371716', 'UMLS:C1245757', 'RXCUI:374371', 'UMLS:C1248451', 'RXCUI:384427', 'UMLS:C1617058', 'RXCUI:405336', 'UMLS:C1330542', 'RXCUI:831445', 'UMLS:C2587165', 'RXCUI:831447', 'UMLS:C2587167', 'RXCUI:833007', 'UMLS:C2608633', 'RXCUI:833008', 'UMLS:C0704671', 'RXCUI:849500', 'UMLS:C2684530', 'RXCUI:849501', 'UMLS:C0775228', 'RXCUI:849502', 'UMLS:C2684531', 'RXCUI:849503', 'UMLS:C0706375', 'RXCUI:849505', 'UMLS:C2684533', 'RXCUI:849506', 'UMLS:C0688481', 'RXCUI:849514', 'UMLS:C2684538', 'RXCUI:849515', 'UMLS:C0704670', 'RXCUI:849516', 'UMLS:C2684539', 'RXCUI:849517', 'UMLS:C0713521', 'RXCUI:849519', 'UMLS:C2684541', 'RXCUI:849520', 'UMLS:C1168875', 'RXCUI:849521', 'UMLS:C2684542', 'RXCUI:849522', 'UMLS:C0356576', 'RXCUI:849523', 'UMLS:C2684543', 'RXCUI:849524', 'UMLS:C0713522', 'RXCUI:1157759', 'UMLS:C3212177', 'RXCUI:1157760', 'UMLS:C3212178', 'RXCUI:1157762', 'UMLS:C3212180', 'RXCUI:1157763', 'UMLS:C3212181', 'RXCUI:1157764', 'UMLS:C3212182', 'RXCUI:1166306', 'UMLS:C3220537', 'RXCUI:1166307', 'UMLS:C3220538', 'RXCUI:1166308', 'UMLS:C3220539', 'RXCUI:1166309', 'UMLS:C3220540', 'RXCUI:1179011', 'UMLS:C3232895', 'RXCUI:1723231', 'UMLS:C4060428', 'RXCUI:1723232', 'UMLS:C4048651', 'RXCUI:1723233', 'UMLS:C4060238', 'RXCUI:1723234', 'UMLS:C4048499', 'RXCUI:1797858', 'UMLS:C4257301', 'RXCUI:1797859', 'UMLS:C0976106', 'RXCUI:1797860', 'UMLS:C4257099', 'RXCUI:1797861', 'UMLS:C0874614', 'RXCUI:1801244', 'UMLS:C4271728', 'RXCUI:1874123', 'UMLS:C4318119', 'RXCUI:1874124', 'UMLS:C4318120', 'RXCUI:1874125', 'UMLS:C4318121', 'RXCUI:1874126', 'UMLS:C4318122', 'RXCUI:1874128', 'UMLS:C4318124', 'RXCUI:1874129', 'UMLS:C4318125', 'RXCUI:1874130', 'UMLS:C4318126', 'RXCUI:1874131', 'UMLS:C4318127', 'RXCUI:1874132', 'UMLS:C4318128', 'RXCUI:1991410', 'UMLS:C4535061', 'RXCUI:1991411', 'UMLS:C4535062', 'RXCUI:2048570', 'UMLS:C4704013', 'RXCUI:2048571', 'UMLS:C4704014', 'RXCUI:2048573', 'UMLS:C4704015', 'RXCUI:2048575', 'UMLS:C4704016', 'RXCUI:2048576', 'UMLS:C4704017', 'RXCUI:2048577', 'UMLS:C4704018', 'RXCUI:2048578', 'UMLS:C4704019', 'RXCUI:2048715', 'UMLS:C4704092', 'RXCUI:2048716', 'UMLS:C4704093', 'RXCUI:2048717', 'UMLS:C4704094', 'RXCUI:2048718', 'UMLS:C4704095', 'RXCUI:2048719', 'UMLS:C4704096', 'RXCUI:2048720', 'UMLS:C4704097', 'RXCUI:2048721', 'UMLS:C4704098', 'RXCUI:2048722', 'UMLS:C4704099', 'RXCUI:2201628', 'UMLS:C5210109', 'RXCUI:2646113', 'UMLS:C5835172', 'RXCUI:2646519', 'UMLS:C5835504', 'RXCUI:2646745', 'UMLS:C5835684', 'RXCUI:2647088', 'UMLS:C5835974', 'RXCUI:2647470', 'UMLS:C5836295', 'RXCUI:2648126', 'UMLS:C5836829', 'RXCUI:2648466', 'UMLS:C5781593', 'RXCUI:2654655', 'UMLS:C5838520', 'RXCUI:2654662', 'UMLS:C5838527', 'RXCUI:2654985', 'UMLS:C5838850', 'RXCUI:2655474', 'UMLS:C5839339', 'RXCUI:2656128', 'UMLS:C5839989', 'RXCUI:2657349', 'UMLS:C5841207', 'RXCUI:2657653', 'UMLS:C5841510', 'RXCUI:2658738', 'UMLS:C5842589', 'RXCUI:2658739', 'UMLS:C5842590', 'RXCUI:2659167', 'UMLS:C5842977', 'RXCUI:2659549', 'UMLS:C5843358', 'RXCUI:2660905', 'UMLS:C5844712', 'RXCUI:2661711', 'UMLS:C5845516', 'RXCUI:2662298', 'UMLS:C5846102', 'RXCUI:2663446', 'UMLS:C5847248', 'UMLS:C0086135', 'UMLS:C0701195', 'UMLS:C1330542', 'UMLS:C1707693']"
Desonid,,CHEBI:204734,Desonide,Drug 1: Desonid; Drug 2: Desonide,True,CHEBI:204734,True,CHEBI:204734,Desonide,"['CHEBI:204734', 'UNII:J280872D1O', 'PUBCHEM.COMPOUND:5311066', 'CHEMBL.COMPOUND:CHEMBL1201109', 'DRUGBANK:DB01260', 'MESH:D003898', 'CAS:211-351-6', 'CAS:638-94-8', 'DrugCentral:3135', 'GTOPDB:7066', 'HMDB:HMDB0015389', 'INCHIKEY:WBGKWQHBNHJJPZ-LECWWXJVSA-N', 'UMLS:C0011705', 'RXCUI:3254', 'RXCUI:103439', 'UMLS:C0352454', 'RXCUI:197572', 'UMLS:C0688483', 'RXCUI:204135', 'UMLS:C0701779', 'RXCUI:205529', 'UMLS:C0706403', 'RXCUI:205530', 'UMLS:C0706405', 'RXCUI:205534', 'UMLS:C0706409', 'RXCUI:216501', 'UMLS:C0719795', 'RXCUI:258344', 'UMLS:C0813503', 'RXCUI:328228', 'UMLS:C1123109', 'RXCUI:339984', 'UMLS:C1140016', 'RXCUI:349351', 'UMLS:C1164916', 'RXCUI:362186', 'UMLS:C1236097', 'RXCUI:362348', 'UMLS:C1236260', 'RXCUI:365703', 'UMLS:C1239661', 'RXCUI:367425', 'UMLS:C1241397', 'RXCUI:377668', 'UMLS:C1251901', 'RXCUI:378605', 'UMLS:C1252940', 'RXCUI:378983', 'UMLS:C1253360', 'RXCUI:405178', 'UMLS:C1330384', 'RXCUI:438864', 'UMLS:C1368300', 'RXCUI:563313', 'UMLS:C1595759', 'RXCUI:566431', 'UMLS:C1598859', 'RXCUI:566432', 'UMLS:C1598860', 'RXCUI:584511', 'UMLS:C1615825', 'RXCUI:584512', 'UMLS:C1620502', 'RXCUI:584513', 'UMLS:C1615277', 'RXCUI:654357', 'UMLS:C1738603', 'RXCUI:654358', 'UMLS:C1445750', 'RXCUI:668349', 'UMLS:C1813143', 'RXCUI:668350', 'UMLS:C1813144', 'RXCUI:669081', 'UMLS:C1813325', 'RXCUI:669747', 'UMLS:C1813462', 'RXCUI:669748', 'UMLS:C1813463', 'RXCUI:669749', 'UMLS:C1813464', 'RXCUI:669750', 'UMLS:C1813465', 'RXCUI:1154229', 'UMLS:C3208701', 'RXCUI:1154230', 'UMLS:C3208702', 'RXCUI:1174521', 'UMLS:C3228538', 'RXCUI:1179644', 'UMLS:C3233512', 'RXCUI:1182723', 'UMLS:C3236558', 'RXCUI:1187889', 'UMLS:C3241623', 'RXCUI:2567326', 'UMLS:C5550578', 'RXCUI:2567327', 'UMLS:C5550640', 'RXCUI:2567328', 'UMLS:C5550684', 'RXCUI:2567329', 'UMLS:C5550659', 'RXCUI:2567330', 'UMLS:C5449449']"
