category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0003688	well differentiated papillary mesothelioma	A localized or multifocal mesothelioma arising from the peritoneum and less often the pleura. Cases arising from the peritoneum predominantly occur in women. It is characterized by the formation of papillae, covered by a single layer of blunt mesothelial cells. Mitotic figures are not present. There is no evidence of severe cytologic atypia. It has a relatively favorable clinical outcome, compared to malignant mesothelioma.	well-differentiated papillary tumor of mesothelium; well differentiated papillary mesothelioma; benign/Intermediate mesothelioma; well-differentiated papillary neoplasm of mesothelium; well-differentiated mesothelial papillary tumour; WDPM; well-differentiated papillary tumour of the mesothelium; well-differentiated papillary tumor of the mesothelium; well-differentiated mesothelial papillary tumor; well-differentiated mesothelial papillary neoplasm; well-differentiated papillary neoplasm of the mesothelium; well-differentiated papillary tumour of mesothelium	mondo:is_pathogen_caused_member; mondo:anatomical_member; mondo:tag_existing_treatment_member; mondo:mondo_top_grouping_member; mondo:txgnn_member; mondo:tag_qualy_lost_other; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:tag_existing_treatment_true; mondo:medical_specialization_pulmonology; mondo:otar; mondo:tag_qaly_lost_medium; mondo:is_glucose_dysfunction_false; mondo:anatomical_lung_disorder; mondo:txgnn_other; mondo:harrisons_view_cancer_or_benign_tumor; mondo:anatomical_mesothelioma; mondo:is_pathogen_caused_false; mondo:medical_specialization_member; mondo:is_cancer_true; mondo:harrisons_view_member; mondo:txgnn_cancer; mondo:is_cancer_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:tag_qaly_lost_member; mondo:medical_specialization_oncology; mondo:mondo_txgnn_member; mondo:medical_specialization_cardiothoracic; mondo:is_glucose_dysfunction_member	UMLS:C1337012; ICDO:9052/1; MEDGEN:234487; NCIT:C7635; DOID:5884
MONDO:0007019	vulvovaginitis	An inflammatory pathologic process that affects the vulva and the vagina.	Vulvo-vaginitis	mondo:medical_specialization_urology; mondo:tag_existing_treatment_true; mondo:harrisons_view_member; mondo:is_cancer_false; mondo:is_glucose_dysfunction_member; mondo:tag_qaly_lost_member; mondo:harrisons_view_inflammatory_disease; mondo:anatomical_member; mondo:mondo_top_grouping_member; mondo:tag_qaly_lost_low; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:is_pathogen_caused_true; mondo:otar; mondo:is_glucose_dysfunction_false; mondo:tag_qualy_lost_other; mondo:mondo_top_grouping_inflammatory_disease; mondo:txgnn_member; mondo:tag_existing_treatment_member; mondo:mondo_txgnn_other; mondo:harrisons_view_reproductive_system_disorder; mondo:anatomical_urinary_tract_disorder; mondo:medical_specialization_obstetrics_and_gynecology; mondo:txgnn_inflammatory_disease; mondo:txgnn_autoimmune_diseases; mondo:medical_specialization_member; mondo:anatomical_reproductive_system_disorder; mondo:is_pathogen_caused_member; mondo:is_cancer_member	DOID:2273; MEDGEN:12129; MESH:D014848; UMLS:C0042998; MedDRA:10047794; NCIT:C35131; SCTID:53277000; EFO:1001240
MONDO:0007018	vulvitis	Inflammation of the vulva. It is characterized by pruritus and painful urination.	mammalian vulva inflammation; inflammation of mammalian vulva	mondo:tag_existing_treatment_true; mondo:harrisons_view_member; mondo:is_cancer_false; mondo:medical_specialization_dermatology; mondo:is_glucose_dysfunction_member; mondo:tag_qaly_lost_member; mondo:anatomical_skin_disorder; mondo:harrisons_view_inflammatory_disease; mondo:anatomical_member; mondo:mondo_top_grouping_member; mondo:tag_qaly_lost_medium; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:is_pathogen_caused_true; mondo:otar; mondo:is_glucose_dysfunction_false; mondo:tag_qualy_lost_other; mondo:mondo_top_grouping_inflammatory_disease; mondo:txgnn_member; mondo:tag_existing_treatment_member; mondo:mondo_txgnn_other; mondo:harrisons_view_reproductive_system_disorder; mondo:medical_specialization_obstetrics_and_gynecology; mondo:txgnn_inflammatory_disease; mondo:txgnn_autoimmune_diseases; mondo:medical_specialization_member; mondo:anatomical_reproductive_system_disorder; mondo:is_pathogen_caused_member; mondo:is_cancer_member	DOID:3901; SCTID:63144007; MESH:D014847; UMLS:C0042996; icd11.foundation:727252860; EFO:1001239; MedDRA:10047780; MEDGEN:22690
MONDO:0002195	vulvar squamous neoplasm	A benign, precancerous, or malignant neoplasm that arises from the squamous epithelium of the vulva. Representative examples include vestibular papilloma, intraepithelial neoplasia, and squamous cell carcinoma.	mammalian vulva squamous cell neoplasm; vulvar squamous tumor; vulvar squamous neoplasm; vulvar squamous tumour	mondo:medical_specialization_member; mondo:is_glucose_dysfunction_false; mondo:tag_existing_treatment_true; mondo:harrisons_view_reproductive_system_disorder; mondo:tag_qaly_lost_medium; mondo:tag_qaly_lost_member; mondo:harrisons_view_member; mondo:mondo_txgnn_member; mondo:tag_qualy_lost_other; mondo:medical_specialization_oncology; mondo:harrisons_view_cancer_or_benign_tumor; mondo:is_cancer_member; mondo:otar; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:txgnn_member; mondo:is_glucose_dysfunction_member; mondo:is_pathogen_caused_false; mondo:anatomical_skin_disorder; mondo:txgnn_cancer; mondo:is_cancer_true; mondo:medical_specialization_obstetrics_and_gynecology; mondo:txgnn_; mondo:anatomical_member; mondo:mondo_top_grouping_member; mondo:anatomical_reproductive_system_disorder; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:medical_specialization_dermatology; mondo:tag_existing_treatment_member; mondo:is_pathogen_caused_member	DOID:2072; NCIT:C40283; MEDGEN:276998; UMLS:C1520097
MONDO:0006622	vulvar seborrheic keratosis	A benign squamous neoplasm that arises from the vulva. It is characterized by the proliferation of the basal cells in the squamous epithelium, acanthosis, hyperkeratosis, and cysts formation.	mammalian vulva seborrheic keratosis; seborrheic keratosis of the vulva; seborrheic keratosis of vulva; seborrheic keratosis of mammalian vulva	mondo:rare; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:harrisons_view_disorder_of_development_or_morphogenesis; mondo:tag_qaly_lost_member; mondo:harrisons_view_cancer_or_benign_tumor; mondo:is_glucose_dysfunction_false; mondo:is_pathogen_caused_false; mondo:medical_specialization_member; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:mondo_top_grouping_disorder_of_development_or_morphogenesis; mondo:tag_existing_treatment_true; mondo:is_glucose_dysfunction_member; mondo:harrisons_view_member; mondo:tag_qaly_lost_low; mondo:tag_qualy_lost_other; mondo:tag_existing_treatment_member; mondo:mondo_top_grouping_integumentary_system_disorder; mondo:is_cancer_member; mondo:txgnn_inflammatory_disease; mondo:is_pathogen_caused_member; mondo:nord_rare; mondo:harrisons_view_hereditary_disease; mondo:anatomical_reproductive_system_disorder; mondo:is_cancer_false; mondo:mondo_txgnn_member; mondo:txgnn_cancer; mondo:anatomical_skin_disorder; mondo:medical_specialization_dermatology; mondo:harrisons_view_reproductive_system_disorder; mondo:txgnn_autoimmune_diseases; mondo:medical_specialization_obstetrics_and_gynecology; mondo:anatomical_member; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:gard_rare; mondo:txgnn_member; mondo:mondo_top_grouping_member; mondo:harrisons_view_integumentary_system_disorder; mondo:mondo_top_grouping_hereditary_disease	DOID:6944; MEDGEN:237055; NCIT:C6375; UMLS:C1336981
MONDO:0021049	vulvar neoplasm	A benign or malignant neoplasm that affects the vulva. Representative examples include Bartholin gland adenoma, vulvar nodular hidradenoma, vulvar carcinoma, and vulvar melanoma.	vulvar tumor; neoplasm of the vulva; vulva tumour; neoplasm of mammalian vulva; mammalian vulva neoplasm (disease); vulvar tumour; vulva neoplasm; neoplasm of vulva; tumour of the vulva; mammalian vulva neoplasm; vulvar neoplasm; tumour of mammalian vulva; mammalian vulva tumour; tumor of vulva; mammalian vulva tumor; tumor of mammalian vulva; vulval neoplasm; tumor of the vulva; tumour of vulva; vulva tumor	mondo:tag_qaly_lost_member; mondo:is_cancer_true; mondo:medical_specialization_obstetrics_and_gynecology; mondo:mondo_top_grouping_member; mondo:otar; mondo:txgnn_inflammatory_disease; mondo:is_pathogen_caused_false; mondo:txgnn_member; mondo:medical_specialization_member; mondo:tag_existing_treatment_false; mondo:txgnn_cancer; mondo:anatomical_skin_disorder; mondo:tag_qualy_lost_other; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:is_glucose_dysfunction_false; mondo:harrisons_view_reproductive_system_disorder; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:mondo_txgnn_member; mondo:tag_existing_treatment_member; mondo:is_pathogen_caused_member; mondo:is_glucose_dysfunction_member; mondo:anatomical_reproductive_system_disorder; mondo:harrisons_view_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:tag_qaly_lost_high; mondo:medical_specialization_oncology; mondo:harrisons_view_cancer_or_benign_tumor; mondo:anatomical_member; mondo:is_cancer_member	MEDGEN:22689; ICD9:239.5; SCTID:126922007; UMLS:C0042995; NCIT:C3443
MONDO:0002198	vulvar glandular neoplasm	A benign or malignant neoplasm that arises from the vulva and is composed of glandular epithelial cells. Representative examples include adenoma of the minor vestibular glands, Bartholin gland adenoma, and Bartholin gland adenocarcinoma.	vulvar glandular tumor; mammalian vulva glandular cell neoplasm; vulvar glandular neoplasm; vulvar glandular tumour	mondo:medical_specialization_member; mondo:is_pathogen_caused_member; mondo:is_glucose_dysfunction_false; mondo:harrisons_view_reproductive_system_disorder; mondo:tag_qaly_lost_medium; mondo:tag_qaly_lost_member; mondo:harrisons_view_member; mondo:tag_existing_treatment_false; mondo:mondo_txgnn_member; mondo:tag_qualy_lost_other; mondo:medical_specialization_oncology; mondo:harrisons_view_cancer_or_benign_tumor; mondo:is_cancer_member; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:txgnn_member; mondo:is_glucose_dysfunction_member; mondo:is_pathogen_caused_false; mondo:txgnn_autoimmune_diseases; mondo:anatomical_skin_disorder; mondo:txgnn_glandular_neoplasm; mondo:txgnn_cancer; mondo:is_cancer_true; mondo:medical_specialization_obstetrics_and_gynecology; mondo:anatomical_member; mondo:anatomical_reproductive_system_disorder; mondo:mondo_top_grouping_member; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:medical_specialization_dermatology; mondo:tag_existing_treatment_member	MEDGEN:276991; NCIT:C40292; UMLS:C1520082; DOID:2076
MONDO:0001938	vulvar dystrophy	A non-neoplastic lesion that affects the vulva and is characterized by thinning or thickening of the skin and dryness.	dystrophy of vulva	mondo:is_glucose_dysfunction_member; mondo:anatomical_reproductive_system_disorder; mondo:mondo_txgnn_other; mondo:medical_specialization_obstetrics_and_gynecology; mondo:medical_specialization_dermatology; mondo:is_cancer_false; mondo:tag_qaly_lost_medium; mondo:txgnn_member; mondo:harrisons_view_member; mondo:medical_specialization_member; mondo:is_glucose_dysfunction_false; mondo:harrisons_view_reproductive_system_disorder; mondo:tag_existing_treatment_member; mondo:tag_existing_treatment_false; mondo:tag_qaly_lost_member; mondo:otar; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:tag_qualy_lost_other; mondo:txgnn_autoimmune_diseases; mondo:is_pathogen_caused_false; mondo:mondo_top_grouping_member; mondo:is_cancer_member; mondo:txgnn_inflammatory_disease; mondo:anatomical_member; mondo:anatomical_skin_disorder	ICD9:624.0; MEDGEN:3942; NCIT:C34565; SCTID:51689003; DOID:14292; UMLS:C0013426; ICD9:624.09
MONDO:0002187	vulvar disease	A non-neoplastic or neoplastic disorder that affects the vulva. Representative examples include infection, Bartholin gland adenoma, and vulvar carcinoma.	disorder of vulva; vulvar disorder; vulvar disease	mondo:anatomical_member; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:is_cancer_false; mondo:medical_specialization_dermatology; mondo:harrisons_view_member; mondo:tag_existing_treatment_member; mondo:is_pathogen_caused_true; mondo:harrisons_view_reproductive_system_disorder; mondo:is_glucose_dysfunction_false; mondo:tag_qualy_lost_other; mondo:otar; mondo:tag_qaly_lost_member; mondo:is_glucose_dysfunction_member; mondo:tag_qaly_lost_medium; mondo:txgnn_member; mondo:anatomical_skin_disorder; mondo:is_cancer_member; mondo:txgnn_cancer; mondo:txgnn_inflammatory_disease; mondo:txgnn_autoimmune_diseases; mondo:medical_specialization_obstetrics_and_gynecology; mondo:is_pathogen_caused_member; mondo:mondo_txgnn_other; mondo:medical_specialization_member; mondo:tag_existing_treatment_true; mondo:mondo_top_grouping_member; mondo:anatomical_reproductive_system_disorder	UMLS:C0042994; DOID:2059; NCIT:C27631; SCTID:5089007; MESH:D014845; MEDGEN:53055
MONDO:0005214	vulva sarcoma	A malignant mesenchymal neoplasm that arises from the vulva. Representative examples include childhood botryoid-type embryonal rhabdomyosarcoma, alveolar soft part sarcoma, and leiomyosarcoma.	vulvar sarcoma; mammalian vulva sarcoma; sarcoma of vulva; sarcoma of mammalian vulva	mondo:is_cancer_member; mondo:mondo_top_grouping_member; mondo:gard_rare; mondo:is_pathogen_caused_false; mondo:harrisons_view_reproductive_system_disorder; mondo:mondo_txgnn_member; mondo:harrisons_view_member; mondo:txgnn_cancer; mondo:anatomical_skin_disorder; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:tag_qaly_lost_member; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:tag_qualy_lost_other; mondo:rare; mondo:is_glucose_dysfunction_member; mondo:is_pathogen_caused_member; mondo:medical_specialization_obstetrics_and_gynecology; mondo:harrisons_view_cancer_or_benign_tumor; mondo:anatomical_reproductive_system_disorder; mondo:tag_existing_treatment_false; mondo:tag_existing_treatment_member; mondo:medical_specialization_oncology; mondo:is_glucose_dysfunction_false; mondo:anatomical_member; mondo:is_cancer_true; mondo:txgnn_; mondo:txgnn_member; mondo:medical_specialization_member; mondo:tag_qaly_lost_high; mondo:mondo_top_grouping_reproductive_system_disorder	UMLS:C0238525; NCIT:C40317; SCTID:254897006; DOID:2096; MEDGEN:65972
