category_class	label	harrisons_view	mondo_txgnn	mondo_top_grouping	medical_specialization	txgnn	anatomical	is_pathogen_caused	is_cancer	is_glucose_dysfunction	tag_existing_treatment	tag_qaly_lost
MONDO:0000062	isolated microphthalmia	disorder_of_visual_system|hereditary_disease	other	hereditary_disease|disorder_of_orbital_region|disorder_of_visual_system	pediatric|ophthalmology|genetics_and_genomics	genetic_disorder|developmental_disorder|neurodegenerative_disease|metabolic_disorder	eye_disorder|muscle_disorder	false	false	false	false	medium
MONDO:0000066	mitochondrial complex deficiency	mitochondrial_disease|disorder_of_development_or_morphogenesis|hereditary_disease|metabolic_disease	metabolic_disease	hereditary_disease|metabolic_disease|mitochondrial_disease|disorder_of_development_or_morphogenesis	pediatric|neurology|genetic_and_genomics|genetics_and_genomics	metabolic_disorder|neurodegenerative_disease	muscle_disorder	false	false	false	false	high
MONDO:0000078	acrocephalopolysyndactyly	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder|hereditary_disease|syndromic_disease	other	hereditary_disease|disorder_of_development_or_morphogenesis|syndromic_disease|musculoskeletal_system_disorder	pediatric|genetics_and_genomics	metabolic_disorder|autoimmune_diseases|neurodegenerative_disease	joint_disorder|bone_disorder	false	false	false	false	high
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder|hereditary_disease	other	hereditary_disease|disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder	endocrinology|urology|renal_medicine	metabolic_disorder|osteoporosis	kidney_disorder|bone_disorder	false	false	false	true	medium
MONDO:0000082	pelvic organ prolapse	reproductive_system_disorder	other	reproductive_system_disorder	obstetrics_and_gynecology|gastroenterology	pelvic_floor_disorder|urological_disease|gynecological_disease|inflammatory_disease	reproductive_system_disorder|muscle_disorder	false	false	false	true	medium
MONDO:0000087	polymicrogyria	nervous_system_disorder	other	nervous_system_disorder	neurology|genetics_and_genomics	mental_health_disorder|neurodegenerative_disease	spinal_disorder|brain_disorder	false	false	false	false	high
MONDO:0000088	precocious puberty	endocrine_system_disorder|disorder_of_development_or_morphogenesis|reproductive_system_disorder	endocrine_system_disorder	disorder_of_development_or_morphogenesis|endocrine_system_disorder|reproductive_system_disorder	pediatric|endocrinology	metabolic_disorder|autoimmune_diseases|adrenal_gland_disease	endocrine_disorder|reproductive_system_disorder	false	false	false	true	medium
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	mitochondrial_disease|disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder|hereditary_disease|nervous_system_disorder|metabolic_disease	metabolic_disease	hereditary_disease|metabolic_disease|mitochondrial_disease|disorder_of_development_or_morphogenesis|nervous_system_disorder|musculoskeletal_system_disorder	neurology|ophthalmology|genetics_and_genomics	metabolic_disorder|neurodegenerative_disease	eye_disorder|muscle_disorder	false	false	false	false	high
MONDO:0000104	anemia, hypochromic microcytic with iron overload	hematologic_disorder|hereditary_disease	anemia	hematologic_disorder|hereditary_disease	hematology|gastroenterology	anemia|metabolic_disorder	liver_disorder|iron_overload_is_not_a_category_so_it_has_been_removed|blood_bone_marrow_disorder|upper_gastrointestinal_disorder	false	false	false	true	high
MONDO:0000105	anemia, nonspherocytic hemolytic	hematologic_disorder|hereditary_disease	anemia	hematologic_disorder|hereditary_disease	hematology|genetics_and_genomics	inflammatory_disease|metabolic_disorder|autoimmune_diseases|anemia	vascular_disorder|blood_bone_marrow_disorder	false	false	false	true	medium
MONDO:0000107	auriculocondylar syndrome	hereditary_disease	other	hereditary_disease	pediatric|otolaryngology|orthopaedic|genetics_and_genomics	inflammatory_disease|other___corrected_answer___autoimmune_diseases|autoimmune_diseases	joint_disorder|bone_disorder	false	false	false	false	high
MONDO:0000110	bifid nose	otorhinolaryngologic_disease|musculoskeletal_system_disorder|disorder_of_development_or_morphogenesis	other	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder|otorhinolaryngologic_disease	pediatric|otolaryngology	developmental_disorder|congenital_disorder|neurodegenerative_disease	muscle_disorder|nose_disorder	false	false	false	false	low
MONDO:0000111	camptodactyly syndrome, Guadalajara	hereditary_disease	other	hereditary_disease	pediatric|orthopaedic|genetics_and_genomics	inflammatory_disease|metabolic_disorder|autoimmune_diseases	joint_disorder|bone_disorder	false	false	false	false	medium
MONDO:0000114	cerebelloparenchymal disorder	hereditary_disease	other	hereditary_disease	genetics_and_genomics|neurology	cerebellarparenchymal_disorder_is_a_type_of_brain_disease__but_it_does_not_fit_perfectly_into_the_provided_category_list|neurodegenerative_disease	brain_disorder|spinal_disorder	false	false	false	false	high
MONDO:0000115	Chiari malformation	hereditary_disease	other	hereditary_disease	pediatric|neurology	inflammatory_disease|neurodegenerative_disease	brain_disorder|spinal_disorder	false	false	false	false	medium
MONDO:0000118	reticulate pigment disorder	integumentary_system_disorder|hereditary_disease	other	integumentary_system_disorder|hereditary_disease	dermatology|genetics_and_genomics	anemia|metabolic_disorder|autoimmune_diseases	skin_disorder|immune_disorder|eye_disorder|blood_bone_marrow_disorder	false	false	false	false	medium
MONDO:0000119	congenital heart defects, multiple types	cardiovascular_disorder|disorder_of_development_or_morphogenesis	cardiovascular_disorder	disorder_of_development_or_morphogenesis|cardiovascular_disorder	cardiology|pediatric	cardiovascular_disorder|metabolic_disorder	vascular_disorder|heart_disorder	false	false	false	true	high
MONDO:0000127	geleophysic dysplasia	hereditary_disease|musculoskeletal_system_disorder	other	hereditary_disease|musculoskeletal_system_disorder	pediatric|orthopaedic|genetics_and_genomics	genetic_disorder|metabolic_disorder|genetic_disorder___corrected_to_fit_the_format___metabolic_disorder	bone_disorder|joint_disorder	false	false	false	false	high
MONDO:0000128	giant axonal neuropathy	hereditary_disease|nervous_system_disorder	other	hereditary_disease|nervous_system_disorder	gastroenterology|genetics_and_genomics|neurology	adrenal_gland_disease|neurodegenerative_disease	muscle_disorder|brain_disorder|spinal_disorder	false	false	false	false	high
MONDO:0000129	glutaric aciduria	metabolic_disease	metabolic_disease	metabolic_disease	pediatric|genetics_and_genomics|neurology	metabolic_disorder|neurodegenerative_disease	kidney_disorder|brain_disorder	false	false	false	true	high
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	premature_aging_syndrome|hereditary_disease	other	hereditary_disease|premature_aging_syndrome	genetics_and_genomics|immunology	autoimmune_diseases|inflammatory_disease|metabolic_disorder|cancer	immune_disorder|lymphatic_disorder|blood_bone_marrow_disorder	false	false	false	false	high
MONDO:0000136	keratosis follicularis spinulosa decalvans	integumentary_system_disorder|metabolic_disease|disorder_of_development_or_morphogenesis|hereditary_disease	metabolic_disease	integumentary_system_disorder|disorder_of_development_or_morphogenesis|metabolic_disease|hereditary_disease	dermatology|genetics_and_genomics	autoimmune_diseases|inflammatory_disease	scalp_disorder|hair_loss_disorder|skin_disorder	false	false	false	false	high
MONDO:0000137	leukoencephalopathy, megalencephalic	nervous_system_disorder|hereditary_disease	other	hereditary_disease|nervous_system_disorder	pediatric|hematology|genetics_and_genomics|neurology	metabolic_disorder|neurodegenerative_disease	brain_disorder|blood_bone_marrow_disorder	false	false	false	false	medium
MONDO:0000138	metaphyseal chondrodysplasia	musculoskeletal_system_disorder|disorder_of_development_or_morphogenesis|hereditary_disease	other	disorder_of_development_or_morphogenesis|hereditary_disease|musculoskeletal_system_disorder	pediatric|orthopaedic|rheumatology|genetics_and_genomics	genetic_disorder|metabolic_disorder	bone_disorder|joint_disorder	false	false	false	false	medium
MONDO:0000141	mosaic variegated aneuploidy syndrome	cancer_or_benign_tumor|chromosomal_disorder|syndromic_disease|hereditary_disease	cancer_or_benign_tumor	cancer_or_benign_tumor|chromosomal_disorder|hereditary_disease|syndromic_disease	oncology|genetics_and_genomics|neurology|pediatric	genetic_disorder|neurodegenerative_disease	bone_disorder|blood_bone_marrow_disorder	false	false	false	false	high
MONDO:0000147	polyposis	cancer_or_benign_tumor	cancer_or_benign_tumor	cancer_or_benign_tumor	oncology|gastroenterology|genetics_and_genomics	inflammatory_disease|cancer	lower_gastrointestinal_disorder|upper_gastrointestinal_disorder	false	false	false	true	high
MONDO:0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related	respiratory_system_disorder|premature_aging_syndrome|hereditary_disease	other	respiratory_system_disorder|hereditary_disease|premature_aging_syndrome	pulmonology|hematology|oncology|genetics_and_genomics|pediatric	metabolic_disorder|cancer|anemia	blood_bone_marrow_disorder|lung_disorder	false	false	false	true	high
MONDO:0000151	symphalangism	musculoskeletal_system_disorder	other	musculoskeletal_system_disorder	orthopaedic|neurology|rheumatology	musculoskeletal_disorder|neurodegenerative_disease	muscle_disorder|spinal_disorder|joint_disorder	false	false	false	false	medium
MONDO:0000152	thiamine-responsive dysfunction syndrome	metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|metabolic_disease	genetics_and_genomics|neurology|pediatric	metabolic_disorder|neurodegenerative_disease	brain_disorder|nerve_disorder	false	false	false	true	high
MONDO:0000153	transposition of the great arteries	cardiovascular_disorder|disorder_of_development_or_morphogenesis	cardiovascular_disorder	cardiovascular_disorder|disorder_of_development_or_morphogenesis	cardiothoracic|cardiology|pediatric	congenital_heart_disease|cardiovascular_disorder	heart_disorder|vascular_disorder	false	false	false	false	high
MONDO:0000155	triglyceride storage disease	metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|metabolic_disease	endocrinology|hepatology|genetics_and_genomics|cardiology	metabolic_disorder|cardiovascular_disorder	liver_disorder|endocrine_disorder	false	false	false	true	high
MONDO:0000156	trigonocephaly	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder	other	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder	genetics_and_genomics|neurology|pediatric	mental_health_disorder|neurodegenerative_disease	spinal_disorder|brain_disorder	false	false	false	false	medium
MONDO:0000158	developmental dysplasia of the hip	disorder_of_development_or_morphogenesis|hereditary_disease|musculoskeletal_system_disorder	other	disorder_of_development_or_morphogenesis|hereditary_disease|musculoskeletal_system_disorder	orthopaedic|genetics_and_genomics|pediatric	metabolic_disorder|developmental_disorder	bone_disorder|joint_disorder	false	false	false	true	medium
MONDO:0000159	bone marrow failure syndrome	hematologic_disorder|hereditary_disease|musculoskeletal_system_disorder|immune_system_disorder	other	hematologic_disorder|hereditary_disease|immune_system_disorder|musculoskeletal_system_disorder	hematology|oncology|genetics_and_genomics	metabolic_disorder|cancer|anemia	immune_disorder|blood_bone_marrow_disorder	false	false	false	true	high
MONDO:0000160	epilepsy, familial adult myoclonic	nervous_system_disorder|hereditary_disease	other	nervous_system_disorder|hereditary_disease	genetics_and_genomics|neurology	metabolic_disorder|autoimmune_diseases|neurodegenerative_disease	muscle_disorder|brain_disorder	false	false	false	false	high
MONDO:0000166	encephalopathy, acute, infection-induced	nervous_system_disorder|hereditary_disease	other	nervous_system_disorder|hereditary_disease|acute_disease|post_infectious_disorder	infectious_diseases|pediatrics|neurology	inflammatory_disease|neurodegenerative_disease|autoimmune_diseases	infection_induced_disorders|immune_disorder|brain_disorder	true	false	false	false	high
MONDO:0000167	Huntington disease and related disorders	nervous_system_disorder|hereditary_disease	neurodegenerative_disease	nervous_system_disorder|hereditary_disease	genetics_and_genomics|neurology	mental_health_disorder|neurodegenerative_disease	muscle_disorder|brain_disorder	false	false	false	false	very_high
MONDO:0000170	microphthalmia, isolated, with coloboma	disorder_of_visual_system|hereditary_disease	other	disorder_of_orbital_region|disorder_of_visual_system|hereditary_disease	genetics_and_genomics|ophthalmology|pediatric	metabolic_disorder|neurodegenerative_disease	eye_disorder	false	false	false	false	high
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	nervous_system_disorder|musculoskeletal_system_disorder|hereditary_disease	other	musculoskeletal_system_disorder|nervous_system_disorder|hereditary_disease	genetics_and_genomics|orthopaedic|neurology|pediatric	metabolic_disorder|neurodegenerative_disease	muscle_disorder|spinal_disorder|joint_disorder	false	false	false	false	very_high
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	nervous_system_disorder|musculoskeletal_system_disorder|hereditary_disease	other	musculoskeletal_system_disorder|nervous_system_disorder|hereditary_disease	genetics_and_genomics|orthopaedic|neurology|pediatric	metabolic_disorder|neurodegenerative_disease	muscle_disorder	false	false	false	false	high
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C	nervous_system_disorder|musculoskeletal_system_disorder|hereditary_disease	other	musculoskeletal_system_disorder|nervous_system_disorder|hereditary_disease	orthopaedic|genetics_and_genomics|neurology|pediatric	muscular_dystrophy_is_a_muscle_disorder_but_there_s_no_separate_category_for_it__so_the_closest_ones_were_used|metabolic_disorder|neurodegenerative_disease	muscle_disorder|spinal_disorder	false	false	false	false	very_high
MONDO:0000179	Neu-Laxova syndrome	nervous_system_disorder|integumentary_system_disorder|metabolic_disease|disorder_of_development_or_morphogenesis|hereditary_disease|syndromic_disease	metabolic_disease	nervous_system_disorder|disorder_of_development_or_morphogenesis|hereditary_disease|metabolic_disease|syndromic_disease|integumentary_system_disorder	genetics_and_genomics|neurology	metabolic_disorder|neurodegenerative_disease|autoimmune_diseases	muscle_disorder|spinal_disorder|brain_disorder|joint_disorder	false	false	false	false	very_high
MONDO:0000181	microcephaly and chorioretinopathy	nervous_system_disorder|disorder_of_visual_system|inflammatory_disease|disorder_of_development_or_morphogenesis|hereditary_disease	other	nervous_system_disorder|disorder_of_orbital_region|disorder_of_development_or_morphogenesis|inflammatory_disease|hereditary_disease|disorder_of_visual_system	genetics_and_genomics|neurology|pediatric	metabolic_disorder|neurodegenerative_disease	eye_disorder|brain_disorder	true	false	false	false	high
MONDO:0000182	congenital myasthenic syndrome with tubular aggregates	nervous_system_disorder|hereditary_disease|syndromic_disease	other	nervous_system_disorder|hereditary_disease|syndromic_disease	genetics_and_genomics|neurology	metabolic_disorder|neurodegenerative_disease	muscle_disorder|brain_disorder	false	false	false	true	high
MONDO:0000188	GLUT1 deficiency syndrome	nervous_system_disorder|hereditary_disease|metabolic_disease	metabolic_disease	metabolic_disease|nervous_system_disorder|hereditary_disease	neurology|pediatric|genetics_and_genomics	metabolic_disorder|autoimmune_diseases|neurodegenerative_disease	brain_disorder|muscle_disorder	false	false	true	true	high
MONDO:0000190	ventricular fibrillation	cardiovascular_disorder	cardiovascular_disorder	cardiovascular_disorder	cardiology|cardiothoracic|pulmonology|renal_medicine	cardiovascular_disorder	vascular_disorder|heart_disorder	false	false	false	true	very_high
MONDO:0000192	polyglucosan body myopathy	musculoskeletal_system_disorder|hereditary_disease	other	musculoskeletal_system_disorder|hereditary_disease	neurology|genetics_and_genomics	metabolic_disorder|neurodegenerative_disease	muscle_disorder	false	false	false	false	medium
MONDO:0000193	cortisone reductase deficiency	endocrine_system_disorder|reproductive_system_disorder|metabolic_disease|hereditary_disease	metabolic_disease|endocrine_system_disorder	metabolic_disease|hereditary_disease|reproductive_system_disorder|endocrine_system_disorder	pediatrics|endocrinology|genetics_and_genomics	metabolic_disorder|adrenal_gland_disease|inflammatory_disease	endocrine_disorder|blood_bone_marrow_disorder	false	false	false	false	high
MONDO:0000200	Zimmermann-Laband syndrome	hereditary_disease	other	hereditary_disease	genetics_and_genomics|neurology	metabolic_disorder|neurodegenerative_disease	muscle_disorder|brain_disorder|joint_disorder	false	false	false	false	medium
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	hereditary_disease	other	hereditary_disease	endocrinology|neurology|pediatric	metabolic_disorder|neurodegenerative_disease	growth_disorder|endocrine_disorder|brain_disorder	false	false	true	false	high
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	hereditary_disease|nervous_system_disorder|disorder_of_development_or_morphogenesis	neurodegenerative_disease	disorder_of_development_or_morphogenesis|nervous_system_disorder|hereditary_disease	genetics_and_genomics|neurology|pediatric|obstetrics_and_gynecology	inflammatory_disease|metabolic_disorder|neurodegenerative_disease	spinal_disorder|muscle_disorder|bone_disorder	false	false	false	false	very_high
MONDO:0000210	thiopurine metabolic disease	hereditary_disease|metabolic_disease	metabolic_disease	metabolic_disease|hereditary_disease	genetics_and_genomics|oncology|gastroenterology|pediatric	inflammatory_disease|metabolic_disorder|autoimmune_diseases	liver_disorder|immune_disorder	false	false	false	true	high
MONDO:0000211	striatal degeneration, autosomal dominant	hereditary_disease|nervous_system_disorder|metabolic_disease	metabolic_disease|neurodegenerative_disease	metabolic_disease|nervous_system_disorder|hereditary_disease	genetics_and_genomics|neurology	autosomal_dominant_disorder|neurodegenerative_disease	spinal_disorder|brain_disorder	false	false	false	false	high
MONDO:0000212	hypercalcemia, infantile	hereditary_disease|metabolic_disease	metabolic_disease	metabolic_disease|hereditary_disease	endocrinology|pediatric	metabolic_disorder|autoimmune_diseases	kidney_disorder|bone_disorder|endocrine_disorder	false	false	false	true	high
MONDO:0000213	autoimmune disease, multisystem, infantile-onset	hereditary_disease|immune_system_disorder	autoimmune_disease	immune_system_disorder|hereditary_disease	rheumatology|genetics_and_genomics|allergy_and_immunology|pediatric	inflammatory_disease|multisystem_disease|autoimmune_diseases	multisystem_disorder____note__the_term__multisystem__is_a_broader_category_that_encompasses_autoimmune_diseases__but_i_have_included_it_as_per_your_request_since_the_disease_is_described_as_having_infantile_onset_and_affecting_multiple_systems|immune_disorder	false	false	false	false	very_high
MONDO:0000214	hypermanganesemia with dystonia	hereditary_disease|metabolic_disease	metabolic_disease	metabolic_disease|hereditary_disease	neurology|metabolic_disorder	metabolic_disorder|anemia|neurodegenerative_disease	muscle_disorder|endocrine_disorder	true	false	false	true	high
MONDO:0000222	seminal vesicle acute gonorrhea	infectious_disease|reproductive_system_disorder|endocrine_system_disorder|inflammatory_disease	endocrine_system_disorder|infectious_disease	acute_disease|reproductive_system_disorder|endocrine_system_disorder|inflammatory_disease|infectious_disease	urology|obstetrics_and_gynecology	inflammatory_disease|urological_disorder|autoimmune_diseases	urinary_tract_disorder|reproductive_system_disorder	true	false	false	false	medium
MONDO:0000224	acquired carbohydrate metabolism disease	metabolic_disease	metabolic_disease	metabolic_disease	endocrinology|genetics_and_genomics	metabolic_disorder|acquired_diseases	upper_gastrointestinal_disorder|liver_disorder|endocrine_disorder	false	false	true	false	high
MONDO:0000225	human monocytic ehrlichiosis	immune_system_disorder|infectious_disease|hematologic_disorder	infectious_disease	immune_system_disorder|hematologic_disorder|infectious_disease	infectious_diseases|hematology	inflammatory_disease|autoimmune_diseases	immune_disorder|lymphatic_disorder|blood_bone_marrow_disorder	true	false	false	true	medium
MONDO:0000226	mineral metabolism disease	metabolic_disease	metabolic_disease	metabolic_disease	endocrinology|genetics_and_genomics|renal_medicine	mineral_metabolism_disease|adrenal_gland_disease|metabolic_disorder	mineral_metabolism_disease_is_not_in_the_list_so_that_one_does_not_get_included|endocrine_disorder	false	false	false	false	high
MONDO:0000227	African tick-bite fever	infectious_disease	infectious_disease	infectious_disease	hepatology|dermatology|hematology	inflammatory_disease|allergy|autoimmune_diseases	lymphatic_disorder|skin_disorder|vascular_disorder	true	false	false	true	medium
MONDO:0000229	Indian tick typhus	infectious_disease	infectious_disease	infectious_disease	dermatology|pediatrics	inflammatory_disease|autoimmune_diseases	immune_disorder|skin_disorder	true	false	false	true	medium
MONDO:0000230	Israeli tick typhus	infectious_disease	infectious_disease	infectious_disease	pulmonology|hematology|dermatology	autoimmune_diseases|inflammatory_disease	vascular_disorder|skin_disorder|immune_disorder	true	false	false	true	medium
MONDO:0000231	Far eastern spotted fever	infectious_disease	infectious_disease	infectious_disease	infectious_diseases|dermatology	autoimmune_diseases|inflammatory_disease	skin_disorder|immune_disorder	true	false	false	true	medium
MONDO:0000232	Flinders island spotted fever	infectious_disease	infectious_disease	infectious_disease	infectious_diseases|dermatology|other____corrected_answer____dermatology	autoimmune_diseases|inflammatory_disease	skin_disorder	true	false	false	false	medium
MONDO:0000233	Japanese spotted fever	infectious_disease	infectious_disease	infectious_disease	infectious_diseases|pediatrics|dermatology	autoimmune_diseases|inflammatory_disease	skin_disorder|immune_disorder|lymphatic_disorder	true	false	false	true	medium
MONDO:0000234	Rickettsia parkeri spotted fever	infectious_disease	infectious_disease	infectious_disease	pediatrics|dermatology	autoimmune_diseases|inflammatory_disease	skin_disorder|lymphatic_disorder	true	false	false	true	medium
MONDO:0000236	oropharyngeal anthrax	respiratory_system_disorder|digestive_system_disorder|otorhinolaryngologic_disease|infectious_disease	infectious_disease	digestive_system_disorder|respiratory_system_disorder|infectious_disease|otorhinolaryngologic_disease	pediatric|otolaryngology	autoimmune_diseases|inflammatory_disease	lung_disorder|upper_gastrointestinal_disorder|throat_disorder	true	false	false	true	high
MONDO:0000239	adiaspiromycosis	respiratory_system_disorder|infectious_disease	infectious_disease	respiratory_system_disorder|infectious_disease	pulmonology|allergy_and_immunology|genetics_and_genomics	autoimmune_diseases|inflammatory_disease	lung_disorder|respiratory_system_disorder	true	false	false	true	medium
MONDO:0000240	invasive aspergillosis	respiratory_system_disorder|infectious_disease	infectious_disease	respiratory_system_disorder|infectious_disease	pulmonology|invasive_aspergillosis_is_most_commonly_associated_with_pulmonary_disease	autoimmune_diseases|inflammatory_disease|cancer	lung_disorder|upper_gastrointestinal_disorder|lower_gastrointestinal_disorder|immune_disorder	true	false	false	true	very_high
MONDO:0000241	Keshan disease	nutritional_disorder|infectious_disease|musculoskeletal_system_disorder|cardiovascular_disorder	infectious_disease|cardiovascular_disorder	cardiovascular_disorder|musculoskeletal_system_disorder|infectious_disease|nutritional_disorder	pediatric|hepatology|genetics_and_genomics	autoimmune_diseases|metabolic_disorder|inflammatory_disease	liver_disorder|endocrine_disorder	true	false	false	true	high
MONDO:0000242	tinea barbae	infectious_disease|integumentary_system_disorder|inflammatory_disease	infectious_disease	inflammatory_disease|infectious_disease|integumentary_system_disorder	dermatology	allergy|autoimmune_diseases|inflammatory_disease	skin_disorder|lower_gastrointestinal_disorder|nose_disorder	true	false	false	true	low
MONDO:0000243	ectothrix infectious disease	infectious_disease|integumentary_system_disorder|inflammatory_disease	infectious_disease	inflammatory_disease|infectious_disease|integumentary_system_disorder	infectious_diseases|dermatology|allergy_and_immunology	autoimmune_diseases|neurodegenerative_disease	brain_disorder|ear_disorder	true	false	false	true	medium
MONDO:0000244	endothrix infectious disease	infectious_disease|integumentary_system_disorder|inflammatory_disease	infectious_disease	inflammatory_disease|infectious_disease|integumentary_system_disorder	pulmonology|pediatrics|infectious_disease|allergy_and_immunology|dermatology|genetics_and_genomics	autoimmune_diseases|inflammatory_disease|cancer	vascular_disorder|immune_disorder	true	false	false	false	low
MONDO:0000245	tinea imbricata	infectious_disease|integumentary_system_disorder|inflammatory_disease	infectious_disease	inflammatory_disease|infectious_disease|integumentary_system_disorder	dermatology	autoimmune_diseases|inflammatory_disease	skin_disorder|fungus_disorder	true	false	false	true	low
MONDO:0000248	dengue shock syndrome	infectious_disease	infectious_disease	infectious_disease	pulmonology|pediatric|hematology	cardiovascular_disorder|inflammatory_disease	vascular_disorder|immune_disorder	true	false	false	true	high
MONDO:0000249	secretory diarrhea	digestive_system_disorder	other	digestive_system_disorder	hepatology|hematology|allergy_and_immunology|gastroenterology	autoimmune_diseases|metabolic_disorder|inflammatory_disease	upper_gastrointestinal_disorder|lower_gastrointestinal_disorder	true	false	false	true	high
MONDO:0000250	osmotic diarrheal disease	digestive_system_disorder	other	digestive_system_disorder	pediatric|gastroenterology	autoimmune_diseases|metabolic_disorder|inflammatory_disease	upper_gastrointestinal_disorder|lower_gastrointestinal_disorder	true	false	false	true	medium
MONDO:0000251	diarrheal disease secondary to altered bowel motility	digestive_system_disorder	other	digestive_system_disorder	neurology|gastroenterology	neurodegenerative_disease|metabolic_disorder|inflammatory_disease	upper_gastrointestinal_disorder|lower_gastrointestinal_disorder	false	false	false	true	medium
